,Gender,Age Group,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount
2828,Female,36-45,Single,Uttar Pradesh,Central,Others,Footwear & Shoes,4,12670
2829,Male,26-35,Single,Delhi,Central,Govt,Footwear & Shoes,1,12668
2830,Male,51-55,Married,Kerala,Southern,Healthcare,Footwear & Shoes,4,12666
2831,Female,26-35,Married,Delhi,Central,Others,Footwear & Shoes,4,12661
2832,Male,18-25,Single,Jharkhand,Eastern,Others,Furniture,3,12658
2833,Male,18-25,Single,Madhya Pradesh,Central,Others,Furniture,1,12658
2834,Female,46-50,Single,Maharashtra,Western,Healthcare,Footwear & Shoes,4,12654
2835,Female,36-45,Married,Karnataka,Southern,Others,Footwear & Shoes,2,12653
2836,Female,26-35,Married,Uttar Pradesh,Central,Healthcare,Furniture,4,12648
2837,Female,26-35,Single,Karnataka,Southern,Govt,Footwear & Shoes,3,12646
2838,Male,26-35,Married,Uttar Pradesh,Central,Banking,Furniture,2,12641
2839,Female,0-17,Single,Maharashtra,Western,Hospitality,Furniture,3,12638
2840,Female,36-45,Married,Delhi,Central,Others,Footwear & Shoes,4,12627
2841,Male,18-25,Married,Uttar Pradesh,Central,IT Sector,Furniture,2,12626
2842,Female,26-35,Single,Uttar Pradesh,Central,Aviation,Footwear & Shoes,3,12626
2843,Female,26-35,Single,Karnataka,Southern,Healthcare,Footwear & Shoes,1,12623
2844,Female,26-35,Married,Delhi,Central,Others,Footwear & Shoes,4,12622
2845,Female,36-45,Single,Delhi,Central,Healthcare,Footwear & Shoes,4,12621
2846,Female,36-45,Single,Madhya Pradesh,Central,Healthcare,Footwear & Shoes,3,12620
2847,Female,26-35,Single,Kerala,Southern,Aviation,Furniture,1,12616
2848,Female,36-45,Married,Delhi,Central,Others,Footwear & Shoes,2,12612
2849,Male,55+,Single,Karnataka,Southern,Others,Footwear & Shoes,3,12611
2850,Female,0-17,Single,Madhya Pradesh,Central,Healthcare,Footwear & Shoes,1,12609
2851,Female,18-25,Married,Maharashtra,Western,Hospitality,Others,3,12609
2852,Male,0-17,Married,Maharashtra,Western,Media,Others,1,12608
2853,Female,18-25,Married,Maharashtra,Western,Hospitality,Furniture,2,12607
2854,Female,36-45,Married,Karnataka,Southern,Healthcare,Footwear & Shoes,2,12606
2855,Female,36-45,Single,Karnataka,Southern,Healthcare,Footwear & Shoes,1,12604
2856,Female,46-50,Single,Delhi,Central,Others,Footwear & Shoes,1,12602
2857,Female,26-35,Single,Karnataka,Southern,IT Sector,Footwear & Shoes,3,12601
2858,Female,36-45,Married,Delhi,Central,Govt,Footwear & Shoes,2,12600
2859,Female,26-35,Married,Karnataka,Southern,Hospitality,Footwear & Shoes,4,12595
2860,Female,18-25,Single,Kerala,Southern,Others,Furniture,2,12591
2861,Female,26-35,Single,Himachal Pradesh,Northern,Healthcare,Furniture,4,12587
2862,Male,26-35,Single,Madhya Pradesh,Central,IT Sector,Footwear & Shoes,4,12583
2863,Female,26-35,Married,Uttar Pradesh,Central,Others,Furniture,1,12582
2864,Female,26-35,Married,Delhi,Central,IT Sector,Footwear & Shoes,3,12578
2865,Female,36-45,Single,Madhya Pradesh,Central,Others,Footwear & Shoes,1,12577
2866,Male,51-55,Married,Gujarat,Western,Aviation,Footwear & Shoes,1,12576
2867,Female,36-45,Married,Karnataka,Southern,IT Sector,Footwear & Shoes,3,12575
2868,Male,36-45,Married,Madhya Pradesh,Central,Media,Footwear & Shoes,4,12575
2869,Female,26-35,Single,Delhi,Central,Banking,Footwear & Shoes,2,12574
2870,Female,26-35,Single,Karnataka,Southern,Aviation,Footwear & Shoes,1,12573
2871,Female,46-50,Single,Uttar Pradesh,Central,Media,Footwear & Shoes,3,12572
2872,Female,46-50,Married,Uttar Pradesh,Central,Aviation,Furniture,4,12571
2873,Female,36-45,Single,Andhra Pradesh,Southern,Others,Furniture,1,12566
2874,Male,26-35,Single,Maharashtra,Western,Aviation,Others,4,12566
2875,Female,46-50,Single,Uttar Pradesh,Central,Others,Footwear & Shoes,3,12566
2876,Female,26-35,Married,Delhi,Central,Healthcare,Others,2,12564
2877,Male,26-35,Married,Karnataka,Southern,Aviation,Footwear & Shoes,4,12559
2878,Female,36-45,Single,Karnataka,Southern,IT Sector,Footwear & Shoes,4,12559
2879,Male,26-35,Married,Karnataka,Southern,Healthcare,Furniture,3,12558
2880,Female,36-45,Single,Uttar Pradesh,Central,Others,Furniture,4,12558
2881,Female,46-50,Married,Karnataka,Southern,IT Sector,Footwear & Shoes,2,12555
2882,Female,18-25,Married,Uttar Pradesh,Central,Banking,Furniture,3,12551
2883,Female,26-35,Single,Karnataka,Southern,Others,Footwear & Shoes,3,12541
2884,Female,36-45,Single,Delhi,Central,Govt,Footwear & Shoes,4,12540
2885,Female,46-50,Single,Madhya Pradesh,Central,Hospitality,Footwear & Shoes,4,12538
2886,Female,46-50,Single,Delhi,Central,Healthcare,Footwear & Shoes,3,12536
2887,Female,51-55,Single,Gujarat,Western,Aviation,Footwear & Shoes,4,12529
2888,Male,36-45,Single,Uttar Pradesh,Central,Banking,Others,3,12528
2889,Female,26-35,Single,Karnataka,Southern,Others,Footwear & Shoes,1,12527
2890,Female,46-50,Married,Maharashtra,Western,Hospitality,Others,4,12527
2891,Male,26-35,Single,Madhya Pradesh,Central,Healthcare,Furniture,1,12524
2892,Female,36-45,Single,Uttar Pradesh,Central,Healthcare,Furniture,2,12523
2893,Male,26-35,Married,Maharashtra,Western,Banking,Furniture,4,12520
2894,Male,51-55,Married,Delhi,Central,Aviation,Footwear & Shoes,4,12512
2895,Female,26-35,Married,Delhi,Central,Govt,Footwear & Shoes,3,12508
2896,Male,55+,Married,Gujarat,Western,Healthcare,Footwear & Shoes,3,12505
2897,Male,26-35,Single,Maharashtra,Western,IT Sector,Furniture,3,12505
2898,Female,36-45,Married,Uttar Pradesh,Central,Aviation,Footwear & Shoes,1,12504
2899,Female,46-50,Single,Uttarakhand,Central,Hospitality,Furniture,1,12504
2900,Female,36-45,Single,Delhi,Central,Others,Footwear & Shoes,2,12502
2901,Female,26-35,Married,Karnataka,Southern,Govt,Footwear & Shoes,3,12499
2902,Female,46-50,Married,Andhra Pradesh,Southern,Others,Furniture,1,12496
2903,Female,26-35,Single,Karnataka,Southern,Others,Footwear & Shoes,1,12489
2904,Male,36-45,Single,Himachal Pradesh,Northern,IT Sector,Footwear & Shoes,4,12479
2905,Male,55+,Married,Andhra Pradesh,Southern,Healthcare,Footwear & Shoes,1,12478
2906,Female,36-45,Married,Karnataka,Southern,Others,Footwear & Shoes,1,12478
2907,Female,36-45,Single,Delhi,Central,Healthcare,Footwear & Shoes,2,12474
2908,Female,26-35,Single,Himachal Pradesh,Northern,Others,Furniture,1,12474
2909,Female,26-35,Single,Delhi,Central,IT Sector,Footwear & Shoes,1,12472
2910,Female,36-45,Married,Delhi,Central,IT Sector,Footwear & Shoes,3,12469
2911,Male,26-35,Married,Maharashtra,Western,Aviation,Footwear & Shoes,3,12467
2912,Male,55+,Married,Uttar Pradesh,Central,Healthcare,Footwear & Shoes,3,12465
2913,Female,36-45,Single,Rajasthan,Northern,Hospitality,Furniture,4,12459
2914,Female,26-35,Single,Delhi,Central,Healthcare,Footwear & Shoes,2,12455
2915,Female,26-35,Married,Delhi,Central,Banking,Footwear & Shoes,2,12451
2916,Female,26-35,Single,Delhi,Central,Healthcare,Footwear & Shoes,2,12451
2917,Female,36-45,Single,Kerala,Southern,Others,Others,2,12449
2918,Female,51-55,Single,Karnataka,Southern,Hospitality,Furniture,4,12446
2919,Female,36-45,Single,Delhi,Central,Aviation,Footwear & Shoes,3,12444
2920,Female,36-45,Single,Delhi,Central,Healthcare,Footwear & Shoes,3,12444
2921,Male,36-45,Single,Kerala,Southern,Govt,Footwear & Shoes,4,12444
2922,Female,46-50,Single,Delhi,Central,Others,Footwear & Shoes,3,12443
2923,Female,36-45,Married,Maharashtra,Western,Banking,Furniture,3,12443
2924,Female,46-50,Single,Uttar Pradesh,Central,Others,Footwear & Shoes,1,12440
2925,Female,46-50,Single,Delhi,Central,Aviation,Footwear & Shoes,2,12435
2926,Female,26-35,Single,Karnataka,Southern,Others,Footwear & Shoes,2,12434
2927,Female,36-45,Single,Delhi,Central,Healthcare,Footwear & Shoes,3,12433
2928,Female,26-35,Married,Kerala,Southern,Others,Furniture,2,12429
2929,Female,46-50,Single,Delhi,Central,Others,Footwear & Shoes,4,12427
2930,Female,51-55,Single,Delhi,Central,Healthcare,Footwear & Shoes,3,12427
2931,Female,26-35,Married,Karnataka,Southern,Banking,Footwear & Shoes,2,12421
2932,Female,51-55,Single,Delhi,Central,Govt,Footwear & Shoes,1,12420
2933,Male,26-35,Married,Uttar Pradesh,Central,Hospitality,Footwear & Shoes,3,12420
2934,Female,18-25,Married,Uttar Pradesh,Central,Media,Furniture,3,12419
2935,Female,46-50,Married,Delhi,Central,Healthcare,Footwear & Shoes,3,12413
2936,Male,55+,Married,Uttar Pradesh,Central,IT Sector,Footwear & Shoes,1,12405
2937,Male,26-35,Married,Himachal Pradesh,Northern,Healthcare,Footwear & Shoes,4,12403
2938,Female,26-35,Single,Karnataka,Southern,Govt,Footwear & Shoes,3,12401
2939,Female,18-25,Married,Maharashtra,Western,Aviation,Furniture,4,12401
2940,Female,26-35,Single,Karnataka,Southern,Others,Footwear & Shoes,1,12400
2941,Female,26-35,Married,Uttar Pradesh,Central,Aviation,Footwear & Shoes,4,12399
2942,Female,51-55,Married,Karnataka,Southern,Others,Footwear & Shoes,4,12398
2943,Male,18-25,Married,Gujarat,Western,Others,Footwear & Shoes,4,12397
2944,Female,26-35,Single,Karnataka,Southern,Banking,Footwear & Shoes,3,12396
2945,Female,36-45,Single,Delhi,Central,Banking,Footwear & Shoes,4,12395
2946,Female,36-45,Single,Karnataka,Southern,Hospitality,Footwear & Shoes,2,12390
2947,Male,51-55,Single,Maharashtra,Western,Banking,Footwear & Shoes,2,12389
2948,Female,36-45,Married,Karnataka,Southern,Others,Footwear & Shoes,1,12388
2949,Female,26-35,Married,Himachal Pradesh,Northern,Aviation,Furniture,4,12387
2950,Female,26-35,Single,Delhi,Central,Banking,Footwear & Shoes,2,12386
2951,Male,55+,Single,Madhya Pradesh,Central,IT Sector,Footwear & Shoes,3,12383
2952,Female,0-17,Married,Karnataka,Southern,Media,Footwear & Shoes,1,12381
2953,Female,26-35,Married,Uttar Pradesh,Central,Media,Footwear & Shoes,1,12381
2954,Female,26-35,Single,Delhi,Central,Others,Footwear & Shoes,2,12380
2955,Female,26-35,Married,Karnataka,Southern,Others,Footwear & Shoes,1,12379
2956,Female,46-50,Married,Karnataka,Southern,Others,Footwear & Shoes,1,12375
2957,Male,26-35,Single,Maharashtra,Western,Hospitality,Footwear & Shoes,1,12367
2958,Female,26-35,Single,Karnataka,Southern,Others,Furniture,2,12363
2959,Male,55+,Single,Karnataka,Southern,Banking,Furniture,3,12363
2960,Female,46-50,Married,Karnataka,Southern,Media,Footwear & Shoes,3,12361
2961,Female,26-35,Married,Uttar Pradesh,Central,Others,Footwear & Shoes,4,12361
2962,Female,36-45,Single,Karnataka,Southern,Others,Footwear & Shoes,2,12357
2963,Female,36-45,Single,Madhya Pradesh,Central,Govt,Footwear & Shoes,1,12356
2964,Female,18-25,Married,Karnataka,Southern,Hospitality,Footwear & Shoes,3,12354
2965,Female,51-55,Single,Uttar Pradesh,Central,Govt,Footwear & Shoes,3,12352
2966,Female,26-35,Married,Delhi,Central,Hospitality,Footwear & Shoes,1,12350
2967,Female,36-45,Single,Delhi,Central,Others,Footwear & Shoes,3,12350
2968,Female,26-35,Married,Karnataka,Southern,Banking,Footwear & Shoes,1,12345
2969,Female,36-45,Single,Karnataka,Southern,Others,Footwear & Shoes,4,12344
2970,Male,18-25,Single,Delhi,Central,Aviation,Footwear & Shoes,4,12340
2971,Male,51-55,Married,Karnataka,Southern,IT Sector,Footwear & Shoes,3,12338
2972,Female,26-35,Single,Delhi,Central,Govt,Footwear & Shoes,4,12337
2973,Male,36-45,Single,Himachal Pradesh,Northern,Others,Furniture,2,12333
2974,Female,26-35,Single,Karnataka,Southern,Others,Footwear & Shoes,1,12333
2975,Female,36-45,Married,Uttar Pradesh,Central,Others,Footwear & Shoes,4,12331
2976,Female,46-50,Single,Andhra Pradesh,Southern,Healthcare,Others,2,12328
2977,Female,36-45,Married,Delhi,Central,Others,Footwear & Shoes,4,12328
2978,Female,26-35,Single,Karnataka,Southern,Others,Footwear & Shoes,1,12327
2979,Female,26-35,Single,Kerala,Southern,Others,Others,3,12327
2980,Female,36-45,Single,Uttar Pradesh,Central,Healthcare,Footwear & Shoes,2,12324
2981,Male,46-50,Single,Uttar Pradesh,Central,Others,Footwear & Shoes,1,12321
2982,Female,46-50,Single,Karnataka,Southern,Others,Footwear & Shoes,1,12320
2983,Female,36-45,Married,Karnataka,Southern,Hospitality,Footwear & Shoes,2,12315
2984,Male,26-35,Single,Uttar Pradesh,Central,Others,Furniture,4,12310
2985,Female,36-45,Married,Karnataka,Southern,Banking,Footwear & Shoes,2,12308
2986,Female,36-45,Married,Uttar Pradesh,Central,Others,Footwear & Shoes,1,12307
2987,Female,26-35,Married,Maharashtra,Western,IT Sector,Furniture,4,12301
2988,Male,26-35,Single,Maharashtra,Western,Aviation,Furniture,2,12300
2989,Female,26-35,Single,Delhi,Central,Aviation,Footwear & Shoes,3,12296
2990,Female,36-45,Single,Maharashtra,Western,Others,Furniture,3,12296
2991,Male,36-45,Married,Uttar Pradesh,Central,Others,Furniture,1,12292
2992,Male,36-45,Single,Karnataka,Southern,Others,Footwear & Shoes,2,12290
2993,Female,26-35,Single,Karnataka,Southern,Others,Footwear & Shoes,3,12289
2994,Male,26-35,Single,Kerala,Southern,Others,Furniture,2,12285
2995,Male,55+,Married,Madhya Pradesh,Central,IT Sector,Footwear & Shoes,3,12285
2996,Female,36-45,Single,Himachal Pradesh,Northern,Banking,Footwear & Shoes,4,12283
2997,Male,55+,Married,Uttar Pradesh,Central,Others,Footwear & Shoes,1,12282
2998,Male,55+,Married,Karnataka,Southern,Govt,Footwear & Shoes,4,12280
2999,Female,26-35,Single,Madhya Pradesh,Central,Aviation,Footwear & Shoes,4,12278
3000,Male,26-35,Single,Karnataka,Southern,Banking,Footwear & Shoes,3,12275
3001,Female,26-35,Single,Karnataka,Southern,Media,Footwear & Shoes,4,12274
3002,Male,26-35,Single,Andhra Pradesh,Southern,IT Sector,Footwear & Shoes,3,12268
3003,Female,51-55,Married,Maharashtra,Western,Banking,Footwear & Shoes,2,12268
3004,Female,26-35,Single,Delhi,Central,Healthcare,Footwear & Shoes,2,12267
3005,Female,26-35,Married,Delhi,Central,Others,Footwear & Shoes,2,12267
3006,Female,36-45,Single,Delhi,Central,Aviation,Footwear & Shoes,4,12262
3007,Female,26-35,Single,Karnataka,Southern,IT Sector,Footwear & Shoes,4,12261
3008,Male,26-35,Single,Delhi,Central,IT Sector,Footwear & Shoes,3,12258
3009,Male,55+,Single,Kerala,Southern,Banking,Footwear & Shoes,1,12258
3010,Female,26-35,Married,Karnataka,Southern,Aviation,Footwear & Shoes,4,12256
3011,Female,36-45,Single,Karnataka,Southern,Banking,Footwear & Shoes,3,12252
3012,Male,51-55,Married,Delhi,Central,Hospitality,Footwear & Shoes,1,12248
3013,Male,51-55,Married,Punjab,Northern,Hospitality,Footwear & Shoes,3,12248
3014,Female,26-35,Single,Maharashtra,Western,Others,Footwear & Shoes,4,12247
3015,Female,26-35,Single,Delhi,Central,Hospitality,Footwear & Shoes,3,12244
3016,Female,26-35,Single,Delhi,Central,IT Sector,Footwear & Shoes,3,12242
3017,Female,18-25,Single,Uttar Pradesh,Central,Healthcare,Footwear & Shoes,1,12242
3018,Female,26-35,Single,Kerala,Southern,Media,Furniture,4,12241
3019,Female,46-50,Single,Delhi,Central,Others,Footwear & Shoes,2,12240
3020,Male,26-35,Married,Bihar,Eastern,Govt,Furniture,1,12239
3021,Female,46-50,Married,Karnataka,Southern,IT Sector,Footwear & Shoes,4,12238
3022,Female,26-35,Married,Karnataka,Southern,Others,Footwear & Shoes,1,12237
3023,Male,55+,Married,Maharashtra,Western,Aviation,Footwear & Shoes,3,12237
3024,Female,26-35,Single,Karnataka,Southern,Aviation,Footwear & Shoes,4,12235
3025,Female,18-25,Single,Uttar Pradesh,Central,IT Sector,Footwear & Shoes,3,12233
3026,Male,26-35,Single,Madhya Pradesh,Central,IT Sector,Footwear & Shoes,4,12232
3027,Male,51-55,Married,Uttar Pradesh,Central,Govt,Footwear & Shoes,3,12230
3028,Female,36-45,Married,Karnataka,Southern,Others,Footwear & Shoes,2,12229
3029,Male,55+,Single,Uttar Pradesh,Central,Others,Footwear & Shoes,2,12228
3030,Male,51-55,Single,Uttarakhand,Central,Hospitality,Footwear & Shoes,4,12228
3031,Female,26-35,Single,Delhi,Central,IT Sector,Footwear & Shoes,1,12222
3032,Male,18-25,Married,Delhi,Central,IT Sector,Footwear & Shoes,3,12220
3033,Male,55+,Single,Maharashtra,Western,Others,Footwear & Shoes,1,12218
3034,Male,46-50,Single,Kerala,Southern,Others,Furniture,1,12216
3035,Female,26-35,Married,Delhi,Central,Banking,Footwear & Shoes,3,12214
3036,Female,36-45,Single,Uttar Pradesh,Central,Others,Footwear & Shoes,3,12214
3037,Male,26-35,Single,Karnataka,Southern,Media,Footwear & Shoes,4,12211
3038,Male,36-45,Single,Maharashtra,Western,Others,Furniture,4,12208
3039,Male,55+,Single,Uttar Pradesh,Central,Healthcare,Footwear & Shoes,2,12208
3040,Female,36-45,Married,Haryana,Northern,Aviation,Others,1,12207
3041,Female,26-35,Single,Madhya Pradesh,Central,Others,Furniture,1,12205
3042,Male,51-55,Single,Uttar Pradesh,Central,Aviation,Others,3,12199
3043,Male,26-35,Married,Delhi,Central,Healthcare,Furniture,4,12198
3044,Male,26-35,Married,Punjab,Northern,Healthcare,Furniture,2,12198
3045,Male,26-35,Married,Kerala,Southern,IT Sector,Footwear & Shoes,1,12196
3046,Female,36-45,Single,Karnataka,Southern,Hospitality,Footwear & Shoes,2,12192
3047,Female,36-45,Single,Karnataka,Southern,Others,Footwear & Shoes,1,12190
3048,Female,36-45,Single,Kerala,Southern,Banking,Furniture,3,12190
3049,Male,55+,Single,Maharashtra,Western,Others,Footwear & Shoes,3,12189
3050,Male,26-35,Single,Maharashtra,Western,Healthcare,Footwear & Shoes,4,12183
3051,Female,51-55,Married,Himachal Pradesh,Northern,Banking,Footwear & Shoes,3,12180
3052,Female,51-55,Married,Madhya Pradesh,Central,Banking,Footwear & Shoes,4,12180
3053,Female,26-35,Single,Karnataka,Southern,Healthcare,Footwear & Shoes,3,12175
3054,Female,46-50,Single,Madhya Pradesh,Central,Others,Furniture,1,12175
3055,Female,36-45,Single,Karnataka,Southern,Others,Footwear & Shoes,3,12174
3056,Male,26-35,Single,Madhya Pradesh,Central,Govt,Furniture,4,12173
3057,Female,46-50,Single,Madhya Pradesh,Central,Others,Footwear & Shoes,4,12172
3058,Female,46-50,Married,Karnataka,Southern,IT Sector,Footwear & Shoes,2,12171
3059,Female,51-55,Single,Karnataka,Southern,Healthcare,Footwear & Shoes,4,12170
3060,Male,36-45,Single,Uttar Pradesh,Central,Hospitality,Furniture,2,12163
3061,Female,26-35,Married,Uttar Pradesh,Central,Others,Footwear & Shoes,1,12162
3062,Male,0-17,Married,Uttarakhand,Central,Others,Footwear & Shoes,2,12162
3063,Male,36-45,Single,Uttar Pradesh,Central,Media,Footwear & Shoes,4,12161
3064,Female,18-25,Single,Karnataka,Southern,Healthcare,Footwear & Shoes,3,12160
3065,Female,26-35,Single,Karnataka,Southern,Others,Footwear & Shoes,2,12159
3066,Female,26-35,Single,Delhi,Central,Others,Footwear & Shoes,1,12157
3067,Male,51-55,Married,Uttar Pradesh,Central,Others,Footwear & Shoes,3,12157
3068,Female,26-35,Married,Delhi,Central,Aviation,Footwear & Shoes,4,12155
3069,Female,26-35,Single,Delhi,Central,Others,Footwear & Shoes,3,12154
3070,Female,26-35,Married,Delhi,Central,Aviation,Footwear & Shoes,3,12153
3071,Female,36-45,Married,Uttar Pradesh,Central,Aviation,Furniture,2,12147
3072,Female,18-25,Single,Gujarat,Western,Others,Furniture,2,12144
3073,Male,36-45,Married,Maharashtra,Western,Others,Footwear & Shoes,2,12144
3074,Female,26-35,Married,Bihar,Eastern,Banking,Furniture,4,12132
3075,Male,36-45,Married,Madhya Pradesh,Central,Hospitality,Furniture,1,12127
3076,Female,51-55,Married,Karnataka,Southern,IT Sector,Food,3,12126
3077,Female,18-25,Single,Maharashtra,Western,Aviation,Furniture,1,12126
3078,Female,36-45,Married,Delhi,Central,Others,Footwear & Shoes,3,12125
3079,Female,46-50,Single,Karnataka,Southern,Others,Food,2,12125
3080,Female,26-35,Married,Delhi,Central,Others,Footwear & Shoes,1,12124
3081,Female,26-35,Married,Uttar Pradesh,Central,Aviation,Footwear & Shoes,4,12124
3082,Male,36-45,Married,Punjab,Northern,Media,Footwear & Shoes,4,12123
3083,Male,0-17,Married,Uttar Pradesh,Central,Healthcare,Food,2,12120
3084,Male,51-55,Married,Uttar Pradesh,Central,Govt,Food,1,12119
3085,Male,55+,Single,Uttarakhand,Central,Others,Footwear & Shoes,4,12119
3086,Female,51-55,Married,Karnataka,Southern,IT Sector,Footwear & Shoes,3,12118
3087,Female,0-17,Single,Maharashtra,Western,Govt,Food,3,12118
3088,Female,26-35,Single,Delhi,Central,Others,Footwear & Shoes,3,12114
3089,Female,55+,Single,Delhi,Central,Banking,Food,1,12112
3090,Female,36-45,Single,Himachal Pradesh,Northern,Aviation,Furniture,2,12112
3091,Female,36-45,Single,Maharashtra,Western,Others,Food,4,12112
3092,Male,26-35,Married,Kerala,Southern,Others,Food,2,12110
3093,Female,26-35,Single,Maharashtra,Western,Aviation,Furniture,4,12110
3094,Female,26-35,Single,Karnataka,Southern,IT Sector,Food,3,12109
3095,Male,0-17,Single,Madhya Pradesh,Central,Media,Food,1,12108
3096,Male,26-35,Single,Kerala,Southern,Aviation,Food,4,12107
3097,Female,26-35,Married,Karnataka,Southern,Others,Food,2,12106
3098,Female,18-25,Single,Maharashtra,Western,Aviation,Food,1,12106
3099,Female,51-55,Single,Uttar Pradesh,Central,Media,Food,3,12106
3100,Male,0-17,Married,Karnataka,Southern,Others,Footwear & Shoes,4,12105
3101,Female,46-50,Married,Delhi,Central,Healthcare,Footwear & Shoes,1,12104
3102,Female,51-55,Married,Delhi,Central,Aviation,Footwear & Shoes,2,12102
3103,Male,26-35,Single,Uttar Pradesh,Central,Others,Furniture,1,12102
3104,Male,46-50,Single,Delhi,Central,Healthcare,Food,3,12101
3105,Female,26-35,Married,Maharashtra,Western,Banking,Food,3,12100
3106,Female,26-35,Married,Andhra Pradesh,Southern,Aviation,Food,3,12099
3107,Male,0-17,Married,Delhi,Central,Aviation,Food,4,12099
3108,Female,18-25,Married,Haryana,Northern,IT Sector,Food,4,12099
3109,Female,18-25,Married,Maharashtra,Western,Healthcare,Food,2,12099
3110,Female,18-25,Single,Maharashtra,Western,Govt,Food,3,12099
3111,Female,26-35,Single,Maharashtra,Western,Banking,Food,3,12097
3112,Male,36-45,Married,Maharashtra,Western,Banking,Food,2,12097
3113,Female,36-45,Married,Uttar Pradesh,Central,IT Sector,Food,2,12097
3114,Female,36-45,Married,Karnataka,Southern,Aviation,Food,2,12096
3115,Female,36-45,Single,Uttar Pradesh,Central,Aviation,Furniture,1,12095
3116,Male,46-50,Married,Maharashtra,Western,IT Sector,Food,4,12093
3117,Male,26-35,Single,Uttar Pradesh,Central,Media,Food,4,12093
3118,Male,26-35,Married,Jharkhand,Eastern,Hospitality,Food,2,12091
3119,Male,18-25,Single,Karnataka,Southern,Healthcare,Food,1,12090
3120,Female,26-35,Single,Madhya Pradesh,Central,Others,Food,1,12090
3121,Female,18-25,Married,Andhra Pradesh,Southern,Healthcare,Food,2,12089
3122,Female,18-25,Married,Delhi,Central,Banking,Food,1,12089
3123,Female,46-50,Single,Uttar Pradesh,Central,Others,Food,4,12089
3124,Female,26-35,Single,Gujarat,Western,Others,Food,1,12088
3125,Female,0-17,Single,Maharashtra,Western,Healthcare,Food,1,12087
3126,Female,26-35,Married,Uttar Pradesh,Central,Media,Furniture,2,12087
3127,Male,26-35,Married,Madhya Pradesh,Central,IT Sector,Food,3,12085
3128,Female,26-35,Single,Delhi,Central,Banking,Food,1,12084
3129,Female,46-50,Single,Uttar Pradesh,Central,IT Sector,Food,3,12084
3130,Female,36-45,Married,Kerala,Southern,IT Sector,Furniture,3,12083
3131,Male,26-35,Single,Delhi,Central,Others,Food,2,12082
3132,Female,26-35,Single,Andhra Pradesh,Southern,Banking,Food,2,12081
3133,Female,26-35,Married,Maharashtra,Western,Others,Food,4,12081
3134,Male,26-35,Married,Gujarat,Western,IT Sector,Food,3,12079
3135,Female,18-25,Married,Uttar Pradesh,Central,Others,Food,4,12078
3136,Female,26-35,Married,Gujarat,Western,Media,Food,1,12076
3137,Female,36-45,Single,Karnataka,Southern,Aviation,Food,4,12076
3138,Female,55+,Single,Madhya Pradesh,Central,Healthcare,Food,3,12074
3139,Female,26-35,Single,Uttar Pradesh,Central,Govt,Food,4,12072
3140,Female,26-35,Single,Madhya Pradesh,Central,Others,Food,1,12071
3141,Male,36-45,Single,Uttar Pradesh,Central,Others,Food,2,12071
3142,Female,18-25,Single,Karnataka,Southern,Media,Food,1,12069
3143,Male,55+,Married,Delhi,Central,Others,Food,3,12067
3144,Male,46-50,Single,Karnataka,Southern,Media,Food,2,12067
3145,Female,26-35,Single,Uttar Pradesh,Central,Govt,Food,3,12067
3146,Female,51-55,Single,Delhi,Central,Media,Food,4,12066
3147,Female,26-35,Single,Madhya Pradesh,Central,Healthcare,Food,2,12065
3148,Female,46-50,Single,Madhya Pradesh,Central,Hospitality,Food,1,12065
3149,Male,46-50,Single,Maharashtra,Western,IT Sector,Food,3,12063
3150,Female,26-35,Married,Uttar Pradesh,Central,Govt,Food,2,12063
3151,Female,36-45,Married,Maharashtra,Western,Hospitality,Furniture,4,12061
3152,Female,36-45,Single,Uttar Pradesh,Central,Healthcare,Food,1,12061
3153,Male,26-35,Single,Delhi,Central,Others,Food,2,12060
3154,Male,26-35,Married,Himachal Pradesh,Northern,Others,Food,4,12060
3155,Male,18-25,Single,Karnataka,Southern,Others,Food,1,12056
3156,Female,26-35,Married,Andhra Pradesh,Southern,Aviation,Food,2,12055
3157,Female,26-35,Married,Madhya Pradesh,Central,Govt,Food,1,12054
3158,Female,26-35,Single,Uttar Pradesh,Central,IT Sector,Food,4,12054
3159,Female,18-25,Married,Madhya Pradesh,Central,IT Sector,Food,4,12050
3160,Female,18-25,Married,Uttar Pradesh,Central,Govt,Food,1,12049
3161,Female,46-50,Married,Madhya Pradesh,Central,Govt,Food,4,12048
3162,Female,26-35,Single,Haryana,Northern,Banking,Food,4,12047
3163,Male,36-45,Married,Uttar Pradesh,Central,Healthcare,Food,2,12047
3164,Male,36-45,Single,Uttar Pradesh,Central,IT Sector,Food,2,12046
3165,Female,18-25,Married,Bihar,Eastern,Hospitality,Food,4,12044
3166,Female,26-35,Married,Madhya Pradesh,Central,Banking,Food,3,12044
3167,Female,46-50,Single,Haryana,Northern,Others,Food,1,12043
3168,Male,26-35,Single,Uttar Pradesh,Central,Media,Food,1,12043
3169,Male,18-25,Single,Maharashtra,Western,Others,Food,3,12042
3170,Female,46-50,Married,Telangana,Southern,Others,Food,4,12042
3171,Female,26-35,Single,Andhra Pradesh,Southern,Healthcare,Food,3,12040
3172,Female,26-35,Married,Maharashtra,Western,Healthcare,Food,2,12040
3173,Female,36-45,Single,Uttar Pradesh,Central,Healthcare,Food,3,12039
3174,Female,55+,Married,Madhya Pradesh,Central,Others,Food,1,12038
